model,source_mode,label,layer,log10_np_lower,log10_np_upper,count,probability_mass
qwen2_5_vl_7b,hmid_cos,hall,1,-5.85,-5.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.8,-5.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.75,-5.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.7,-5.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.65,-5.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.6,-5.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.55,-5.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.5,-5.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.45,-5.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.4,-5.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.35,-5.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.3,-5.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.25,-5.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.2,-5.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.15,-5.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.1,-5.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5.05,-5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-5,-4.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.95,-4.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.9,-4.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.85,-4.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.8,-4.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.75,-4.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.7,-4.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.65,-4.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.6,-4.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.55,-4.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.5,-4.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.45,-4.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.4,-4.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.35,-4.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.3,-4.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.25,-4.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.2,-4.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.15,-4.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.1,-4.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4.05,-4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-4,-3.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.95,-3.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.9,-3.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.85,-3.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.8,-3.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.75,-3.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.7,-3.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.65,-3.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.6,-3.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.55,-3.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.5,-3.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.45,-3.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.4,-3.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.35,-3.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.3,-3.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.25,-3.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.2,-3.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.15,-3.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.1,-3.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3.05,-3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-3,-2.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.95,-2.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.9,-2.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.85,-2.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.8,-2.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.75,-2.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.7,-2.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.65,-2.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.6,-2.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.55,-2.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.5,-2.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.45,-2.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.4,-2.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.35,-2.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.3,-2.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.25,-2.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.2,-2.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.15,-2.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.1,-2.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2.05,-2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-2,-1.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.95,-1.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.9,-1.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.85,-1.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.8,-1.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.75,-1.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.7,-1.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.65,-1.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.6,-1.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.55,-1.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.5,-1.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.45,-1.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.4,-1.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.35,-1.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.3,-1.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.25,-1.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,-1.2,-1.15,1,3.079614186e-06
qwen2_5_vl_7b,hmid_cos,hall,1,-1.15,-1.1,5,1.539807093e-05
qwen2_5_vl_7b,hmid_cos,hall,1,-1.1,-1.05,22,6.775151209e-05
qwen2_5_vl_7b,hmid_cos,hall,1,-1.05,-1,40,0.0001231845674
qwen2_5_vl_7b,hmid_cos,hall,1,-1,-0.95,47,0.0001447418667
qwen2_5_vl_7b,hmid_cos,hall,1,-0.95,-0.9,120,0.0003695537023
qwen2_5_vl_7b,hmid_cos,hall,1,-0.9,-0.85,172,0.00052969364
qwen2_5_vl_7b,hmid_cos,hall,1,-0.85,-0.8,289,0.0008900084997
qwen2_5_vl_7b,hmid_cos,hall,1,-0.8,-0.75,441,0.001358109856
qwen2_5_vl_7b,hmid_cos,hall,1,-0.75,-0.7,646,0.001989430764
qwen2_5_vl_7b,hmid_cos,hall,1,-0.7,-0.65,990,0.003048818044
qwen2_5_vl_7b,hmid_cos,hall,1,-0.65,-0.6,1270,0.003911110016
qwen2_5_vl_7b,hmid_cos,hall,1,-0.6,-0.55,1876,0.005777356213
qwen2_5_vl_7b,hmid_cos,hall,1,-0.55,-0.5,2473,0.007615885882
qwen2_5_vl_7b,hmid_cos,hall,1,-0.5,-0.45,3291,0.01013501029
qwen2_5_vl_7b,hmid_cos,hall,1,-0.45,-0.4,4297,0.01323310216
qwen2_5_vl_7b,hmid_cos,hall,1,-0.4,-0.35,5635,0.01735362594
qwen2_5_vl_7b,hmid_cos,hall,1,-0.35,-0.3,7256,0.02234568053
qwen2_5_vl_7b,hmid_cos,hall,1,-0.3,-0.25,9920,0.03054977272
qwen2_5_vl_7b,hmid_cos,hall,1,-0.25,-0.2,13431,0.04136229813
qwen2_5_vl_7b,hmid_cos,hall,1,-0.2,-0.15,18423,0.05673573215
qwen2_5_vl_7b,hmid_cos,hall,1,-0.15,-0.1,25664,0.07903521847
qwen2_5_vl_7b,hmid_cos,hall,1,-0.1,-0.05,34365,0.1058309415
qwen2_5_vl_7b,hmid_cos,hall,1,-0.05,0,41725,0.1284969019
qwen2_5_vl_7b,hmid_cos,hall,1,0,0.05,44527,0.1371259809
qwen2_5_vl_7b,hmid_cos,hall,1,0.05,0.1,39761,0.1224485396
qwen2_5_vl_7b,hmid_cos,hall,1,0.1,0.15,29586,0.09111346531
qwen2_5_vl_7b,hmid_cos,hall,1,0.15,0.2,18185,0.05600278397
qwen2_5_vl_7b,hmid_cos,hall,1,0.2,0.25,9735,0.0299800441
qwen2_5_vl_7b,hmid_cos,hall,1,0.25,0.3,4828,0.01486837729
qwen2_5_vl_7b,hmid_cos,hall,1,0.3,0.35,2552,0.007859175403
qwen2_5_vl_7b,hmid_cos,hall,1,0.35,0.4,1233,0.003797164291
qwen2_5_vl_7b,hmid_cos,hall,1,0.4,0.45,711,0.002189605686
qwen2_5_vl_7b,hmid_cos,hall,1,0.45,0.5,464,0.001428940982
qwen2_5_vl_7b,hmid_cos,hall,1,0.5,0.55,273,0.0008407346728
qwen2_5_vl_7b,hmid_cos,hall,1,0.55,0.6,167,0.0005142955691
qwen2_5_vl_7b,hmid_cos,hall,1,0.6,0.65,112,0.0003449167888
qwen2_5_vl_7b,hmid_cos,hall,1,0.65,0.7,75,0.0002309710639
qwen2_5_vl_7b,hmid_cos,hall,1,0.7,0.75,40,0.0001231845674
qwen2_5_vl_7b,hmid_cos,hall,1,0.75,0.8,29,8.930881139e-05
qwen2_5_vl_7b,hmid_cos,hall,1,0.8,0.85,11,3.387575605e-05
qwen2_5_vl_7b,hmid_cos,hall,1,0.85,0.9,14,4.31145986e-05
qwen2_5_vl_7b,hmid_cos,hall,1,0.9,0.95,7,2.15572993e-05
qwen2_5_vl_7b,hmid_cos,hall,1,0.95,1,6,1.847768512e-05
qwen2_5_vl_7b,hmid_cos,hall,1,1,1.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.05,1.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.1,1.15,1,3.079614186e-06
qwen2_5_vl_7b,hmid_cos,hall,1,1.15,1.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.2,1.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.25,1.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.3,1.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.35,1.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.4,1.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.45,1.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.5,1.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.55,1.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.6,1.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.65,1.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.7,1.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.75,1.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.8,1.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.85,1.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.9,1.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,1.95,2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2,2.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.05,2.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.1,2.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.15,2.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.2,2.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.25,2.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.3,2.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.35,2.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.4,2.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.45,2.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.5,2.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.55,2.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.6,2.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.65,2.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.7,2.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.75,2.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.8,2.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.85,2.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.9,2.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,2.95,3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3,3.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.05,3.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.1,3.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.15,3.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.2,3.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.25,3.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.3,3.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.35,3.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.4,3.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.45,3.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.5,3.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.55,3.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.6,3.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.65,3.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.7,3.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.75,3.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.8,3.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.85,3.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.9,3.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,3.95,4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4,4.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.05,4.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.1,4.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.15,4.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.2,4.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.25,4.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.3,4.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.35,4.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.4,4.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.45,4.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.5,4.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.55,4.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.6,4.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.65,4.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.7,4.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.75,4.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.8,4.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.85,4.9,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.9,4.95,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,4.95,5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5,5.05,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.05,5.1,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.1,5.15,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.15,5.2,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.2,5.25,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.25,5.3,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.3,5.35,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.35,5.4,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.4,5.45,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.45,5.5,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.5,5.55,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.55,5.6,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.6,5.65,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.65,5.7,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.7,5.75,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.75,5.8,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.8,5.85,0,0
qwen2_5_vl_7b,hmid_cos,hall,1,5.85,5.9,0,0
