model,split,metric,region,label,n,layer,mean,median,q25,q75
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,27,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,0,733,28,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,1,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,2,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,3,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,4,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,5,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,6,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,7,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,8,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,9,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,10,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,11,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,12,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,13,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,14,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,15,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,16,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,17,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,18,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,19,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,20,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,21,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,22,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,23,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,24,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,25,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,26,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,27,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,BOS,1,6252,28,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,train,raw_attention,visual,0,733,1,0.03009620998219916,0.026650773361325264,0.01993839628994465,0.03731537237763405
qwen2_5_vl_7b,train,raw_attention,visual,0,733,2,0.02755024832499304,0.024846216663718224,0.019363105297088623,0.03360437601804733
qwen2_5_vl_7b,train,raw_attention,visual,0,733,3,0.025230076424472572,0.02279105968773365,0.0184821467846632,0.03035520389676094
qwen2_5_vl_7b,train,raw_attention,visual,0,733,4,0.0306899914089819,0.025743592530488968,0.01873123086988926,0.0364156998693943
qwen2_5_vl_7b,train,raw_attention,visual,0,733,5,0.01744284847304022,0.013537535443902016,0.009603303857147694,0.02184830978512764
qwen2_5_vl_7b,train,raw_attention,visual,0,733,6,0.03988966016901853,0.03331352025270462,0.022822368890047073,0.05166420340538025
qwen2_5_vl_7b,train,raw_attention,visual,0,733,7,0.02004628368662251,0.017884017899632454,0.012723066844046116,0.024997355416417122
qwen2_5_vl_7b,train,raw_attention,visual,0,733,8,0.0484375072526269,0.04180607944726944,0.02774975821375847,0.06451790034770966
qwen2_5_vl_7b,train,raw_attention,visual,0,733,9,0.10589869906249143,0.09201010316610336,0.062218863517045975,0.14225690066814423
qwen2_5_vl_7b,train,raw_attention,visual,0,733,10,0.12433452190676295,0.12112578004598618,0.09316748380661011,0.15363658964633942
qwen2_5_vl_7b,train,raw_attention,visual,0,733,11,0.06492269752956266,0.06269676983356476,0.05005084350705147,0.07805168628692627
qwen2_5_vl_7b,train,raw_attention,visual,0,733,12,0.11278228540517299,0.11438094079494476,0.08387754112482071,0.14041700959205627
qwen2_5_vl_7b,train,raw_attention,visual,0,733,13,0.1278883206949024,0.12895704805850983,0.09948623180389404,0.158446803689003
qwen2_5_vl_7b,train,raw_attention,visual,0,733,14,0.14481282191500983,0.1411510705947876,0.10886257141828537,0.17556743323802948
qwen2_5_vl_7b,train,raw_attention,visual,0,733,15,0.2975378103152751,0.31072932481765747,0.23062445223331451,0.360409677028656
qwen2_5_vl_7b,train,raw_attention,visual,0,733,16,0.11764262060127838,0.10970600694417953,0.08396852016448975,0.1457299441099167
qwen2_5_vl_7b,train,raw_attention,visual,0,733,17,0.223799599039827,0.2239776998758316,0.1602480411529541,0.2868689000606537
qwen2_5_vl_7b,train,raw_attention,visual,0,733,18,0.1484115336326651,0.1474986970424652,0.10359971225261688,0.19023549556732178
qwen2_5_vl_7b,train,raw_attention,visual,0,733,19,0.1211237958105126,0.12182656675577164,0.08983513712882996,0.14966067671775818
qwen2_5_vl_7b,train,raw_attention,visual,0,733,20,0.2507294524679568,0.2592882513999939,0.20332294702529907,0.3039184510707855
qwen2_5_vl_7b,train,raw_attention,visual,0,733,21,0.19372214272232044,0.1934017390012741,0.1447433978319168,0.23515237867832184
qwen2_5_vl_7b,train,raw_attention,visual,0,733,22,0.22925325734146945,0.23145650327205658,0.18785671889781952,0.27377381920814514
qwen2_5_vl_7b,train,raw_attention,visual,0,733,23,0.28329242204822913,0.2897094488143921,0.208217591047287,0.3587130010128021
qwen2_5_vl_7b,train,raw_attention,visual,0,733,24,0.16754202524995454,0.16334268450737,0.10882209241390228,0.22058090567588806
qwen2_5_vl_7b,train,raw_attention,visual,0,733,25,0.15779066682217635,0.15610623359680176,0.11094317585229874,0.20417402684688568
qwen2_5_vl_7b,train,raw_attention,visual,0,733,26,0.148041984447536,0.1416947841644287,0.09156663715839386,0.20080967247486115
qwen2_5_vl_7b,train,raw_attention,visual,0,733,27,0.25887883040865967,0.2640722393989563,0.18739430606365204,0.3301551043987274
qwen2_5_vl_7b,train,raw_attention,visual,0,733,28,0.3111164839595231,0.31317415833473206,0.21428202092647552,0.4063352644443512
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,1,0.04461862878557843,0.04251339100301266,0.027465575374662876,0.06058516725897789
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,2,0.03718908030653857,0.03653622232377529,0.025527038145810366,0.046480899676680565
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,3,0.03627115950808858,0.03157743811607361,0.02289670519530773,0.046660819090902805
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,4,0.04929380569365996,0.03916880488395691,0.02486756956204772,0.06894638389348984
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,5,0.025764527607003675,0.021243950352072716,0.012420958373695612,0.03288693446666002
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,6,0.05687229952778517,0.05077361315488815,0.032326700165867805,0.07187814638018608
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,7,0.032500630456886316,0.02875181194394827,0.018088783137500286,0.045412749983370304
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,8,0.06534218551711402,0.06328994408249855,0.03400379791855812,0.08993243239820004
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,9,0.1356623507088726,0.13669756054878235,0.08508181758224964,0.17364266514778137
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,10,0.15932800577207445,0.15836481750011444,0.11849684454500675,0.20017335936427116
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,11,0.08675740213447411,0.08580262959003448,0.06475715152919292,0.10895920172333717
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,12,0.1387645071933239,0.1437632068991661,0.11158852837979794,0.1691356562077999
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,13,0.1660290624119904,0.1679679900407791,0.1317715048789978,0.20582640171051025
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,14,0.1958987930599214,0.1923612281680107,0.14292815700173378,0.2528190016746521
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,15,0.3340657357256371,0.3399721086025238,0.29518432170152664,0.3857150748372078
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,16,0.13801896944165382,0.13314556330442429,0.1041216067969799,0.16611500456929207
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,17,0.27826201773808124,0.285148948431015,0.23271840810775757,0.33088846504688263
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,18,0.19535532479814385,0.19801007211208344,0.15095481276512146,0.24031439051032066
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,19,0.1611472523888312,0.15875618159770966,0.12599558755755424,0.20029212906956673
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,20,0.29505946909471326,0.3077690750360489,0.2594616636633873,0.34219125658273697
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,21,0.24603400110688373,0.2507975846529007,0.189453586935997,0.30292850732803345
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,22,0.26050308924400734,0.2647927552461624,0.22262420505285263,0.30289140343666077
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,23,0.34101941606228886,0.3509058356285095,0.2731967121362686,0.41476520895957947
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,24,0.20512557950932045,0.20949101448059082,0.15356449782848358,0.2563672885298729
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,25,0.18191670086452294,0.1845196858048439,0.14035910740494728,0.22330806404352188
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,26,0.17111047132958743,0.16892094910144806,0.12658698856830597,0.21378865465521812
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,27,0.29965074338681486,0.301750510931015,0.23575681075453758,0.3663778379559517
qwen2_5_vl_7b,train,raw_attention,visual,1,6252,28,0.3536951079042849,0.3572806864976883,0.2719091549515724,0.43766262382268906
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,1,0.13535704632959294,0.10451677441596985,0.06957303732633591,0.1671057939529419
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,2,0.20350891112834013,0.18316291272640228,0.13555750250816345,0.2466719001531601
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,3,0.2703052260601667,0.24605552852153778,0.20387330651283264,0.30976173281669617
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,4,0.18019685028235227,0.15944884717464447,0.1324164867401123,0.21135835349559784
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,5,0.7367134008856457,0.7332454323768616,0.6969523429870605,0.7759429812431335
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,6,0.6909985086521055,0.6911407113075256,0.6479199528694153,0.7360813617706299
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,7,0.5690923235995382,0.5624690055847168,0.5216907858848572,0.6109330654144287
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,8,0.5366321248783746,0.5294407606124878,0.49105367064476013,0.5755759477615356
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,9,0.5524025627324233,0.5520084500312805,0.5162414312362671,0.587462306022644
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,10,0.4640007883838872,0.4565286636352539,0.4148695468902588,0.5107527375221252
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,11,0.5367143527384832,0.5341085195541382,0.4976756274700165,0.5712348222732544
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,12,0.48087578560613187,0.4764058291912079,0.43307867646217346,0.5228521227836609
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,13,0.44517749450379146,0.438261479139328,0.3983103334903717,0.49233561754226685
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,14,0.38262021464345236,0.37472692131996155,0.3372972011566162,0.42400795221328735
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,15,0.4130045114768641,0.4084479510784149,0.3700745701789856,0.45686206221580505
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,16,0.4178775742060491,0.41847869753837585,0.3798578381538391,0.4557977318763733
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,17,0.3862021382679555,0.3815946877002716,0.3257647454738617,0.4433738589286804
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,18,0.4262075989137405,0.4259871244430542,0.37430092692375183,0.4783512055873871
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,19,0.3629586904387194,0.3669432997703552,0.3176078200340271,0.40836426615715027
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,20,0.2801335560511112,0.27033665776252747,0.2420228123664856,0.3105107545852661
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,21,0.3391663237674337,0.3362707793712616,0.2837667167186737,0.38858887553215027
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,22,0.3851113999402214,0.3848409950733185,0.34668096899986267,0.42327141761779785
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,23,0.47160999285816985,0.4647616446018219,0.40870773792266846,0.5266464352607727
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,24,0.5418904502183646,0.5399013161659241,0.5042815208435059,0.580247163772583
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,25,0.5154040746522958,0.5183578729629517,0.47320321202278137,0.5621528029441833
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,26,0.5168320793368807,0.5224503874778748,0.45426177978515625,0.5780700445175171
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,27,0.47648951972327813,0.47770658135414124,0.4152352213859558,0.5358520150184631
qwen2_5_vl_7b,train,raw_attention,prompt,0,733,28,0.33218181143434766,0.32949548959732056,0.25154563784599304,0.4078754782676697
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,1,0.26293952377591706,0.2305983230471611,0.11320864036679268,0.40502912551164627
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,2,0.306445451941334,0.30824488401412964,0.18704169988632202,0.42984258383512497
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,3,0.38431379763541773,0.36644142866134644,0.2537863701581955,0.509205088019371
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,4,0.2772206387959864,0.26389601826667786,0.16928688064217567,0.3754272982478142
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,5,0.7775694962807824,0.7845562100410461,0.730651780962944,0.8325319588184357
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,6,0.728889161741131,0.7362470328807831,0.6767703145742416,0.7847446203231812
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,7,0.616727880494799,0.6192092895507812,0.550744965672493,0.6837279051542282
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,8,0.5981663924594834,0.6003672480583191,0.537192240357399,0.6666243821382523
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,9,0.5946983126631472,0.5906115770339966,0.5417900234460831,0.6503584980964661
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,10,0.5103848276806426,0.5176064372062683,0.4580101817846298,0.5604258030653
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,11,0.5866421040621844,0.5888085663318634,0.5337241291999817,0.6451012045145035
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,12,0.5417268837963589,0.532287210226059,0.4723315089941025,0.6172835230827332
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,13,0.49582290951632113,0.4901937246322632,0.4299289956688881,0.5608019828796387
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,14,0.4416927633662866,0.43895646929740906,0.3785626292228699,0.5017450302839279
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,15,0.4401150319107969,0.43488284945487976,0.3861710950732231,0.49118880927562714
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,16,0.46843072415704307,0.4556466192007065,0.40794385224580765,0.5135540515184402
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,17,0.4153457206083427,0.4047636538743973,0.34747470915317535,0.4812574237585068
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,18,0.45741613008801707,0.45106159150600433,0.389614038169384,0.5168179124593735
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,19,0.38622654978035736,0.38879600167274475,0.3302345648407936,0.4466371163725853
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,20,0.32516141958958966,0.31794556975364685,0.271647684276104,0.3727603331208229
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,21,0.3735635931486227,0.36903026700019836,0.30870798975229263,0.4419194906949997
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,22,0.39983205336383804,0.39705081284046173,0.3539324700832367,0.44574839621782303
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,23,0.46487093845564664,0.4617871344089508,0.40857023745775223,0.5203584581613541
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,24,0.5416690227900341,0.5425872206687927,0.5081837922334671,0.5772035121917725
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,25,0.5353046653795838,0.542797714471817,0.4925827458500862,0.5836118459701538
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,26,0.5380674431640333,0.544726699590683,0.4800298139452934,0.6034618318080902
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,27,0.46519568859482147,0.46145470440387726,0.40513310581445694,0.5205410122871399
qwen2_5_vl_7b,train,raw_attention,prompt,1,6252,28,0.32825536540306044,0.3228485733270645,0.25929050147533417,0.3940473645925522
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,1,0.8345649383484423,0.8677351474761963,0.7982625365257263,0.9075074791908264
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,2,0.7689391946239653,0.7944755554199219,0.7199499011039734,0.8405855894088745
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,3,0.7044605202108907,0.7307202219963074,0.6609589457511902,0.7758288979530334
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,4,0.7891101272418424,0.8113889694213867,0.7592483162879944,0.8457576632499695
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,5,0.24584385871094375,0.24729377031326294,0.20303601026535034,0.29010337591171265
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,6,0.2691138514849938,0.27063775062561035,0.22203074395656586,0.3124939203262329
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,7,0.41086473489767206,0.4176734983921051,0.3701193928718567,0.4583616256713867
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,8,0.41492689735323474,0.4210846722126007,0.36868393421173096,0.46941450238227844
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,9,0.34168548010909705,0.3409538269042969,0.29702356457710266,0.38668036460876465
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,10,0.4116589327382196,0.42092812061309814,0.35725435614585876,0.4685570001602173
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,11,0.39835649334392315,0.40261465311050415,0.36342981457710266,0.4404696226119995
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,12,0.4063297240686124,0.4099096357822418,0.3561769723892212,0.461071640253067
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,13,0.4269347832237064,0.4357038736343384,0.3831956684589386,0.475422739982605
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,14,0.47257827742769803,0.4769213795661926,0.4213729500770569,0.5315161347389221
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,15,0.2894686719893108,0.2820693254470825,0.23872090876102448,0.3287188708782196
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,16,0.4644652235678729,0.4692647159099579,0.42923107743263245,0.5015914440155029
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,17,0.38998807875228614,0.38806959986686707,0.325839102268219,0.4522833526134491
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,18,0.425384361474771,0.42678001523017883,0.3729867935180664,0.4827874004840851
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,19,0.5159170032767286,0.5126653909683228,0.46673277020454407,0.5649951696395874
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,20,0.46913954261868257,0.46843814849853516,0.4148075580596924,0.5217183828353882
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,21,0.46710577031843986,0.47391125559806824,0.4144020080566406,0.5247090458869934
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,22,0.38563910301515547,0.38096147775650024,0.340815007686615,0.4266001284122467
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,23,0.24509299204444657,0.23755912482738495,0.19491145014762878,0.2869626581668854
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,24,0.2905602071124242,0.28005436062812805,0.2409793585538864,0.3349241614341736
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,25,0.32681324679562046,0.32064998149871826,0.2740287780761719,0.3748558759689331
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,26,0.33513345238009384,0.32447853684425354,0.2812875509262085,0.37874701619148254
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,27,0.2646299142385407,0.2512857913970947,0.21397876739501953,0.3012014329433441
qwen2_5_vl_7b,train,raw_attention,generated_text,0,733,28,0.3567302306100096,0.3444724977016449,0.305477112531662,0.396030455827713
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,1,0.6924526418058139,0.7261508107185364,0.5341173857450485,0.8579916059970856
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,2,0.6563597443970594,0.6503749489784241,0.5229278802871704,0.7869416326284409
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,3,0.5794112418878941,0.6035610139369965,0.4410809949040413,0.719846785068512
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,4,0.6734839877541524,0.6946060061454773,0.5516526848077774,0.801555797457695
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,5,0.19666274430936945,0.19070861488580704,0.1293228343129158,0.2516466975212097
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,6,0.21423689050865685,0.20803914964199066,0.13399489969015121,0.28084035217761993
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,7,0.3507669600535968,0.35111936926841736,0.2757311165332794,0.4270865023136139
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,8,0.33648647708545415,0.334625706076622,0.2541494593024254,0.40952973812818527
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,9,0.2696383003996338,0.2700638771057129,0.18840167298913002,0.33629796653985977
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,10,0.3302862327843809,0.3275575786828995,0.23631229996681213,0.40795212984085083
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,11,0.32659850996976775,0.32677140831947327,0.2622186616063118,0.3910016715526581
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,12,0.31950627188707725,0.3244701623916626,0.22344688698649406,0.40464501827955246
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,13,0.338148446688077,0.347495898604393,0.2555089592933655,0.4236185625195503
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,14,0.36240438878374154,0.3702213764190674,0.2635737732052803,0.4564645141363144
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,15,0.22581569745455007,0.21709195524454117,0.16181745752692223,0.2783743217587471
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,16,0.3935486241693651,0.4076271653175354,0.3320687338709831,0.46709416061639786
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,17,0.306389370603071,0.3061910569667816,0.20204531773924828,0.39166177064180374
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,18,0.3472277819895813,0.35050803422927856,0.25211958587169647,0.4362925589084625
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,19,0.4526226061800887,0.4556416720151901,0.36728787422180176,0.5289479643106461
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,20,0.37977996458771973,0.3795161545276642,0.3018724173307419,0.4501568228006363
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,21,0.3803980415108985,0.382667139172554,0.27433640509843826,0.47829539328813553
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,22,0.33966360244273147,0.3359815776348114,0.2724562957882881,0.3945475295186043
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,23,0.19410860404176775,0.17946460098028183,0.1180973518639803,0.2522669658064842
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,24,0.2532021114036622,0.24212203174829483,0.1968870908021927,0.29721322655677795
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,25,0.2827802566192944,0.2700768709182739,0.21392495930194855,0.33954518288373947
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,26,0.2908209440758975,0.27057917416095734,0.2229202538728714,0.34327851235866547
qwen2_5_vl_7b,train,raw_attention,generated_text,1,6252,27,0.23514858124061455,0.2082168608903885,0.1789492443203926,0.26925545185804367
