COMMAND: /opt/conda/private/envs/vicr/bin/python scripts/run_tc_fvpa_path_attribution.py --model qwen3_vl_8b --device cuda:1 --devices cuda:0,cuda:1 --output-dir /home/apulis-dev/userdata/CODEX/test-cocochair/gfchair/outputs/qwen3_vl_8b/COCO4000-INSLEN-OFFICIAL-TARGET/results/tc_fvpa_comprehensive_v1_formal_repaired_20260830 --seed 20260829 --layers 9,18,27,36 --target-scalars log_probability,margin,logit --integration-points 1,4,8,16,32 --config /home/apulis-dev/userdata/CODEX/test-cocochair/gfchair/configs/model_configs_inslen_official_target.yaml --num-shards 2 --shard-id 1 --resume --formal --attribution-mode local --audit-vector-cases 0 --num-images 500
`torch_dtype` is deprecated! Use `dtype` instead!
[TC-FVPA local] 49/250 image=559440 cases=344 failures=0
[TC-FVPA local] 50/250 image=7088 cases=352 failures=0
[TC-FVPA local] 51/250 image=300034 cases=360 failures=0
[TC-FVPA local] 52/250 image=46616 cases=368 failures=0
[TC-FVPA local] 53/250 image=32001 cases=376 failures=0
[TC-FVPA local] 54/250 image=339344 cases=380 failures=0
[TC-FVPA local] 55/250 image=298137 cases=388 failures=0
[TC-FVPA local] 56/250 image=115791 cases=396 failures=0
[TC-FVPA local] 57/250 image=14029 cases=404 failures=0
[TC-FVPA local] 58/250 image=354061 cases=412 failures=0
[TC-FVPA local] 59/250 image=451155 cases=420 failures=0
[TC-FVPA local] 60/250 image=101013 cases=428 failures=0
[TC-FVPA local] 61/250 image=471394 cases=436 failures=0
[TC-FVPA local] 62/250 image=331604 cases=444 failures=0
[TC-FVPA local] 63/250 image=433460 cases=448 failures=0
[TC-FVPA local] 64/250 image=230585 cases=456 failures=0
[TC-FVPA local] 65/250 image=281625 cases=464 failures=0
[TC-FVPA local] 66/250 image=294763 cases=472 failures=0
[TC-FVPA local] 67/250 image=176306 cases=476 failures=0
[TC-FVPA local] 68/250 image=280930 cases=484 failures=0
[TC-FVPA local] 69/250 image=411695 cases=488 failures=0
[TC-FVPA local] 70/250 image=504024 cases=492 failures=0
[TC-FVPA local] 71/250 image=330455 cases=500 failures=0
[TC-FVPA local] 72/250 image=22382 cases=504 failures=0
[TC-FVPA local] 73/250 image=549763 cases=512 failures=0
[TC-FVPA local] 74/250 image=431364 cases=520 failures=0
[TC-FVPA local] 75/250 image=136807 cases=528 failures=0
[TC-FVPA local] 76/250 image=130062 cases=536 failures=0
[TC-FVPA local] 77/250 image=333826 cases=544 failures=0
[TC-FVPA local] 78/250 image=357819 cases=552 failures=0
[TC-FVPA local] 79/250 image=141849 cases=560 failures=0
[TC-FVPA local] 80/250 image=90306 cases=568 failures=0
[TC-FVPA local] 81/250 image=321516 cases=576 failures=0
[TC-FVPA local] 82/250 image=158999 cases=584 failures=0
[TC-FVPA local] 83/250 image=388212 cases=588 failures=0
[TC-FVPA local] 84/250 image=33731 cases=596 failures=0
[TC-FVPA local] 85/250 image=269450 cases=604 failures=0
[TC-FVPA local] 86/250 image=185479 cases=612 failures=0
[TC-FVPA local] 87/250 image=7888 cases=616 failures=0
[TC-FVPA local] 88/250 image=369533 cases=624 failures=0
[TC-FVPA local] 89/250 image=545920 cases=632 failures=0
[TC-FVPA local] 90/250 image=208623 cases=640 failures=0
[TC-FVPA local] 91/250 image=276076 cases=648 failures=0
[TC-FVPA local] 92/250 image=123213 cases=656 failures=0
[TC-FVPA local] 93/250 image=103558 cases=664 failures=0
[TC-FVPA local] 94/250 image=254277 cases=672 failures=0
[TC-FVPA local] 95/250 image=199918 cases=676 failures=0
[TC-FVPA local] 96/250 image=300725 cases=684 failures=0
[TC-FVPA local] 97/250 image=500703 cases=692 failures=0
[TC-FVPA local] 98/250 image=441496 cases=696 failures=0
[TC-FVPA local] 99/250 image=91857 cases=700 failures=0
[TC-FVPA local] 100/250 image=13081 cases=708 failures=0
[TC-FVPA local] 101/250 image=539971 cases=716 failures=0
[TC-FVPA local] 102/250 image=470115 cases=724 failures=0
[TC-FVPA local] 103/250 image=349678 cases=732 failures=0
[TC-FVPA local] 104/250 image=213728 cases=740 failures=0
[TC-FVPA local] 105/250 image=457461 cases=748 failures=0
[TC-FVPA local] 106/250 image=301438 cases=756 failures=0
[TC-FVPA local] 107/250 image=524382 cases=764 failures=0
[TC-FVPA local] 108/250 image=410885 cases=772 failures=0
[TC-FVPA local] 109/250 image=227845 cases=776 failures=0
[TC-FVPA local] 110/250 image=125698 cases=784 failures=0
[TC-FVPA local] 111/250 image=250205 cases=792 failures=0
[TC-FVPA local] 112/250 image=524333 cases=800 failures=0
[TC-FVPA local] 113/250 image=397518 cases=804 failures=0
[TC-FVPA local] 114/250 image=29437 cases=812 failures=0
[TC-FVPA local] 115/250 image=361153 cases=820 failures=0
[TC-FVPA local] 116/250 image=310442 cases=828 failures=0
[TC-FVPA local] 117/250 image=246124 cases=836 failures=0
[TC-FVPA local] 118/250 image=470117 cases=844 failures=0
[TC-FVPA local] 119/250 image=364853 cases=852 failures=0
[TC-FVPA local] 120/250 image=410101 cases=860 failures=0
[TC-FVPA local] 121/250 image=458632 cases=868 failures=0
[TC-FVPA local] 122/250 image=360600 cases=876 failures=0
[TC-FVPA local] 123/250 image=208311 cases=884 failures=0
[TC-FVPA local] 124/250 image=207400 cases=892 failures=0
[TC-FVPA local] 125/250 image=67765 cases=900 failures=0
[TC-FVPA local] 126/250 image=229688 cases=908 failures=0
[TC-FVPA local] 127/250 image=80022 cases=916 failures=0
[TC-FVPA local] 128/250 image=443218 cases=924 failures=0
[TC-FVPA local] 129/250 image=94419 cases=932 failures=0
[TC-FVPA local] 130/250 image=146917 cases=940 failures=0
[TC-FVPA local] 131/250 image=200541 cases=948 failures=0
[TC-FVPA local] 132/250 image=450452 cases=952 failures=0
[TC-FVPA local] 133/250 image=299654 cases=956 failures=0
[TC-FVPA local] 134/250 image=159977 cases=964 failures=0
[TC-FVPA local] 135/250 image=359020 cases=972 failures=0
[TC-FVPA local] 136/250 image=105303 cases=980 failures=0
[TC-FVPA local] 137/250 image=334311 cases=984 failures=0
[TC-FVPA local] 138/250 image=302452 cases=992 failures=0
[TC-FVPA local] 139/250 image=71918 cases=1000 failures=0
[TC-FVPA local] 140/250 image=227230 cases=1008 failures=0
[TC-FVPA local] 141/250 image=2302 cases=1016 failures=0
[TC-FVPA local] 142/250 image=578454 cases=1020 failures=0
[TC-FVPA local] 143/250 image=492878 cases=1028 failures=0
[TC-FVPA local] 144/250 image=533013 cases=1032 failures=0
[TC-FVPA local] 145/250 image=386704 cases=1036 failures=0
[TC-FVPA local] 146/250 image=367452 cases=1040 failures=0
[TC-FVPA local] 147/250 image=84968 cases=1048 failures=0
[TC-FVPA local] 148/250 image=291983 cases=1052 failures=0
[TC-FVPA local] 149/250 image=235902 cases=1056 failures=0
[TC-FVPA local] 150/250 image=404263 cases=1064 failures=0
[TC-FVPA local] 151/250 image=390471 cases=1072 failures=0
[TC-FVPA local] 152/250 image=436696 cases=1080 failures=0
[TC-FVPA local] 153/250 image=324161 cases=1084 failures=0
[TC-FVPA local] 154/250 image=518836 cases=1088 failures=0
[TC-FVPA local] 155/250 image=183204 cases=1096 failures=0
[TC-FVPA local] 156/250 image=533532 cases=1104 failures=0
[TC-FVPA local] 157/250 image=464144 cases=1112 failures=0
[TC-FVPA local] 158/250 image=337160 cases=1120 failures=0
[TC-FVPA local] 159/250 image=64059 cases=1128 failures=0
[TC-FVPA local] 160/250 image=103536 cases=1136 failures=0
[TC-FVPA local] 161/250 image=61658 cases=1140 failures=0
[TC-FVPA local] 162/250 image=109118 cases=1148 failures=0
[TC-FVPA local] 163/250 image=432397 cases=1156 failures=0
[TC-FVPA local] 164/250 image=443453 cases=1164 failures=0
[TC-FVPA local] 165/250 image=383026 cases=1168 failures=0
[TC-FVPA local] 166/250 image=130437 cases=1176 failures=0
[TC-FVPA local] 167/250 image=292060 cases=1184 failures=0
[TC-FVPA local] 168/250 image=55768 cases=1192 failures=0
[TC-FVPA local] 169/250 image=500446 cases=1196 failures=0
[TC-FVPA local] 170/250 image=310185 cases=1204 failures=0
[TC-FVPA local] 171/250 image=324476 cases=1212 failures=0
[TC-FVPA local] 172/250 image=436183 cases=1220 failures=0
[TC-FVPA local] 173/250 image=343157 cases=1228 failures=0
[TC-FVPA local] 174/250 image=397639 cases=1236 failures=0
[TC-FVPA local] 175/250 image=368836 cases=1244 failures=0
[TC-FVPA local] 176/250 image=261793 cases=1252 failures=0
[TC-FVPA local] 177/250 image=469103 cases=1260 failures=0
[TC-FVPA local] 178/250 image=64425 cases=1264 failures=0
[TC-FVPA local] 179/250 image=196355 cases=1272 failures=0
[TC-FVPA local] 180/250 image=235274 cases=1276 failures=0
[TC-FVPA local] 181/250 image=440184 cases=1284 failures=0
[TC-FVPA local] 182/250 image=267231 cases=1288 failures=0
[TC-FVPA local] 183/250 image=544607 cases=1296 failures=0
[TC-FVPA local] 184/250 image=357957 cases=1304 failures=0
[TC-FVPA local] 185/250 image=125952 cases=1312 failures=0
[TC-FVPA local] 186/250 image=9003 cases=1320 failures=0
[TC-FVPA local] 187/250 image=545756 cases=1328 failures=0
[TC-FVPA local] 188/250 image=319095 cases=1336 failures=0
[TC-FVPA local] 189/250 image=106046 cases=1344 failures=0
[TC-FVPA local] 190/250 image=527885 cases=1348 failures=0
[TC-FVPA local] 191/250 image=162393 cases=1356 failures=0
[TC-FVPA local] 192/250 image=250383 cases=1364 failures=0
[TC-FVPA local] 193/250 image=16098 cases=1372 failures=0
[TC-FVPA local] 194/250 image=85004 cases=1380 failures=0
[TC-FVPA local] 195/250 image=209322 cases=1384 failures=0
[TC-FVPA local] 196/250 image=82715 cases=1392 failures=0
[TC-FVPA local] 197/250 image=40881 cases=1396 failures=0
[TC-FVPA local] 198/250 image=404801 cases=1404 failures=0
[TC-FVPA local] 199/250 image=468018 cases=1412 failures=0
[TC-FVPA local] 200/250 image=171310 cases=1420 failures=0
[TC-FVPA local] 201/250 image=81616 cases=1428 failures=0
[TC-FVPA local] 202/250 image=243810 cases=1436 failures=0
[TC-FVPA local] 203/250 image=539413 cases=1444 failures=0
[TC-FVPA local] 204/250 image=314112 cases=1452 failures=0
[TC-FVPA local] 205/250 image=355777 cases=1460 failures=0
[TC-FVPA local] 206/250 image=190160 cases=1464 failures=0
[TC-FVPA local] 207/250 image=515785 cases=1472 failures=0
[TC-FVPA local] 208/250 image=12081 cases=1480 failures=0
[TC-FVPA local] 209/250 image=297300 cases=1488 failures=0
[TC-FVPA local] 210/250 image=172556 cases=1496 failures=0
[TC-FVPA local] 211/250 image=576871 cases=1504 failures=0
[TC-FVPA local] 212/250 image=293666 cases=1508 failures=0
[TC-FVPA local] 213/250 image=206618 cases=1512 failures=0
[TC-FVPA local] 214/250 image=262175 cases=1516 failures=0
[TC-FVPA local] 215/250 image=22935 cases=1524 failures=0
[TC-FVPA local] 216/250 image=223554 cases=1532 failures=0
[TC-FVPA local] 217/250 image=393511 cases=1540 failures=0
[TC-FVPA local] 218/250 image=163155 cases=1548 failures=0
[TC-FVPA local] 219/250 image=124442 cases=1556 failures=0
[TC-FVPA local] 220/250 image=435299 cases=1564 failures=0
[TC-FVPA local] 221/250 image=205238 cases=1572 failures=0
[TC-FVPA local] 222/250 image=525211 cases=1580 failures=0
[TC-FVPA local] 223/250 image=195204 cases=1588 failures=0
[TC-FVPA local] 224/250 image=122314 cases=1596 failures=0
[TC-FVPA local] 225/250 image=220382 cases=1604 failures=0
[TC-FVPA local] 226/250 image=176193 cases=1608 failures=0
[TC-FVPA local] 227/250 image=288493 cases=1616 failures=0
[TC-FVPA local] 228/250 image=40729 cases=1624 failures=0
[TC-FVPA local] 229/250 image=356414 cases=1632 failures=0
[TC-FVPA local] 230/250 image=389081 cases=1640 failures=0
[TC-FVPA local] 231/250 image=395843 cases=1648 failures=0
[TC-FVPA local] 232/250 image=423001 cases=1656 failures=0
[TC-FVPA local] 233/250 image=47524 cases=1664 failures=0
[TC-FVPA local] 234/250 image=542423 cases=1672 failures=0
[TC-FVPA local] 235/250 image=445211 cases=1680 failures=0
[TC-FVPA local] 236/250 image=297604 cases=1688 failures=0
[TC-FVPA local] 237/250 image=81004 cases=1696 failures=0
[TC-FVPA local] 238/250 image=334170 cases=1704 failures=0
[TC-FVPA local] 239/250 image=519706 cases=1712 failures=0
[TC-FVPA local] 240/250 image=26640 cases=1720 failures=0
[TC-FVPA local] 241/250 image=428278 cases=1724 failures=0
[TC-FVPA local] 242/250 image=57006 cases=1732 failures=0
[TC-FVPA local] 243/250 image=144992 cases=1740 failures=0
[TC-FVPA local] 244/250 image=402778 cases=1748 failures=0
[TC-FVPA local] 245/250 image=41279 cases=1756 failures=0
[TC-FVPA local] 246/250 image=34015 cases=1764 failures=0
[TC-FVPA local] 247/250 image=572462 cases=1772 failures=0
[TC-FVPA local] 248/250 image=295359 cases=1780 failures=0
[TC-FVPA local] 249/250 image=224366 cases=1788 failures=0
[TC-FVPA local] 250/250 image=345884 cases=1796 failures=0
COMMAND: /opt/conda/private/envs/vicr/bin/python scripts/run_tc_fvpa_path_attribution.py --model qwen3_vl_8b --device cuda:1 --devices cuda:0,cuda:1 --output-dir /home/apulis-dev/userdata/CODEX/test-cocochair/gfchair/outputs/qwen3_vl_8b/COCO4000-INSLEN-OFFICIAL-TARGET/results/tc_fvpa_comprehensive_v1_formal_repaired_20260830 --seed 20260829 --layers 9,18,27,36 --target-scalars log_probability,margin,logit --integration-points 1,4,8,16,32 --config /home/apulis-dev/userdata/CODEX/test-cocochair/gfchair/configs/model_configs_inslen_official_target.yaml --num-shards 2 --shard-id 1 --resume --formal --attribution-mode local --audit-vector-cases 0 --num-images 500
[TC-FVPA local] reuse /home/apulis-dev/userdata/CODEX/test-cocochair/gfchair/outputs/qwen3_vl_8b/COCO4000-INSLEN-OFFICIAL-TARGET/results/tc_fvpa_comprehensive_v1_formal_repaired_20260830/shards/local_case_rank01_shard_00000.pt and /home/apulis-dev/userdata/CODEX/test-cocochair/gfchair/outputs/qwen3_vl_8b/COCO4000-INSLEN-OFFICIAL-TARGET/results/tc_fvpa_comprehensive_v1_formal_repaired_20260830/shards/local_token_maps_rank01_shard_00000.pt
